lat,lon,value
42.3322267,-71.0529719,100
42.3738121,-71.1124611,100
42.262142,-71.119705,125
42.262142,-71.119705,125
42.294,-71.0463,150
42.2788612,-71.1163703,150
42.2873962,-71.1217011,150
42.377121,-71.0391388,150
42.2806954,-71.1206864,150
42.2799548,-71.1189708,150
42.425753,-71.1013192,150
42.2872136,-71.121406,150
42.279474,-71.117766,150
42.371284,-71.037168,150
42.380547,-71.038967,150
42.380547,-71.038967,150
42.311225,-71.062646,175
42.305541,-71.067883,175
42.2930459,-71.061425,175
42.294,-71.0463,175
42.3642002,-71.0995153,200
42.3329689,-71.0474618,225
42.3861288,-71.0108593,250
42.410222,-71.1284307,300
42.3718356,-71.1134324,300
42.3934857,-71.1328599,300
42.343523,-71.087586,325
42.3712683,-71.1043233,350
42.382336,-71.104004,350
42.3561639,-71.1490687,350
42.3957776,-71.1308586,400
42.297853,-71.114516,400
42.338959,-71.083603,400
42.3573845,-71.1281154,400
42.353443,-71.1322275,425
42.362288,-71.133805,425
42.3706612,-71.0319396,450
42.35987,-71.129263,450
42.3461186,-71.1462614,450
42.3461186,-71.1462614,450
42.306629,-71.102715,450
42.4148763,-71.0545395,450
42.4183972,-71.0588768,450
42.3923037,-71.11544,450
42.3993906,-71.1080398,450
42.353719,-71.1280363,450
42.299371,-71.073641,450
42.37617,-71.1038022,450
42.3208051,-71.0567745,450
42.3719,-71.1785,450
42.363193,-71.1297884,475
42.3228212,-71.1097811,475
42.2783302,-71.1369931,475
42.412058,-71.1106217,475
42.312442,-71.050855,475
42.3365408,-71.0769248,475
42.3350903,-71.1113613,475
42.312442,-71.050855,475
42.315349,-71.083304,500
42.3908465,-71.0907645,500
42.4013636,-70.9884149,500
42.30537,-71.061504,500
42.4180696,-70.99116,500
42.3223915,-71.1084609,500
42.3956614,-71.0995514,500
42.3956614,-71.0995514,500
42.307579,-71.058419,500
42.353126,-71.14758,500
42.3585952,-71.1590999,500
42.3208051,-71.0567745,500
42.328154,-71.096995,500
42.326314,-71.104591,500
42.3891358,-71.097168,500
42.3176838,-71.0964231,500
42.3943446,-71.0920373,500
42.38475,-71.1059671,500
42.335975,-71.118633,500
42.27147,-71.00166,500
42.4345694,-71.0678047,500
42.430203,-71.0743526,500
42.31849,-71.056726,500
42.274559,-71.022985,500
42.381301,-71.1373342,500
42.322553,-71.109108,500
42.3560434,-71.1313544,500
42.2761801,-71.0207664,500
42.411197,-71.1103938,500
42.4105772,-71.1202486,500
42.341364,-71.1468257,500
42.358705,-71.179946,500
42.3382,-71.1531,500
42.3789143,-71.0391582,500
42.349957,-71.164733,525
42.3886225,-71.0860011,525
42.3886225,-71.0860011,525
42.3604638,-71.1324024,525
42.314234,-71.099,525
42.3547836,-71.130517,525
42.3989496,-71.1020704,525
42.27985,-71.03562,525
42.394117,-71.1168097,525
42.349182,-71.1626689,525
42.317122,-71.056696,525
42.317122,-71.056696,525
42.388777,-71.0974232,525
42.299115,-71.114085,525
42.3100983,-71.1138369,525
42.3100983,-71.1138369,525
42.4225402,-71.1060708,550
42.313594,-71.100473,550
42.3030304,-71.1145969,550
42.3189762,-71.0544813,550
42.3898156,-71.0882652,550
42.3163163,-71.0525953,550
42.3649003,-71.1090075,550
42.354836,-71.134395,550
42.4024591,-71.1314642,550
42.3946886,-71.1023059,550
42.2781,-71.07432,550
42.3944361,-71.0967605,550
42.3233595,-71.1095672,550
42.350338,-71.154338,550
42.283999,-71.064787,550
42.358148,-71.1290129,550
42.356333,-71.156911,550
42.3320156,-71.1047506,550
42.359356,-71.128901,550
42.3385927,-71.0483843,550
42.3911382,-71.1015122,550
42.361939,-71.1079736,550
42.353177,-71.17352,550
42.3745209,-70.9803678,550
42.3299157,-71.0918281,550
42.3985395,-71.1035198,550
42.2949754,-71.116937,550
42.350896,-71.156919,550
42.3489544,-71.1612986,550
42.3648529,-71.0925917,550
42.3429741,-71.1415392,550
42.3270883,-71.0996356,550
42.353344,-71.133873,550
42.3517474,-71.1356111,550
42.3282054,-71.1001462,550
42.3336,-71.0449,550
42.3465183,-71.0932595,550
42.3794,-71.1014319,575
42.3295353,-71.0570568,575
42.3295353,-71.0570568,575
42.3687619,-71.098168,575
42.3687619,-71.098168,575
42.3212078,-71.1047112,575
42.421214,-71.105123,575
42.355153,-71.145161,575
42.3966625,-71.1293214,575
42.368195,-71.098201,575
42.3607012,-71.1292947,575
42.353492,-71.127742,575
42.3701426,-71.1631758,575
42.3746588,-71.1498,575
42.3600612,-71.1076753,575
42.3540483,-71.1363278,575
42.3381,-71.14606,575
42.3778345,-71.0958754,600
42.4085307,-71.129517,600
42.35894,-71.133113,600
42.35894,-71.133113,600
42.28271,-71.03081,600
42.28271,-71.03081,600
42.3446131,-71.1445515,600
42.3540483,-71.1363278,600
42.2674042,-71.0250777,600
42.3175605,-71.0821717,600
42.3640007,-71.101393,600
42.391597,-71.0917993,600
42.3625878,-71.1337445,600
42.395297,-71.029643,600
42.3231,-71.1636064,600
42.306632,-71.115245,600
42.3644875,-71.1139024,600
42.371232,-71.0814895,600
42.3492044,-71.1300279,600
42.3331891,-71.1096016,600
42.350183,-71.17062,600
42.3118949,-71.0905037,600
42.373859,-71.097803,600
42.3402352,-71.1556809,600
42.345938,-71.1409936,600
42.3957634,-71.1041214,600
42.361185,-71.142816,600
42.3578829,-71.112431,600
42.3796843,-71.0964723,600
42.390617,-71.0903493,600
42.390617,-71.0903493,600
42.418218,-71.006835,600
42.3261149,-71.1247045,600
42.349986,-71.170756,600
42.3910971,-71.1006098,600
42.3626165,-71.1396748,600
42.3626165,-71.1396748,600
42.428994,-71.076032,600
42.3908583,-71.1141654,600
42.326476,-71.1426021,600
42.413762,-71.018486,600
42.3316317,-71.1038952,600
42.403456,-71.12762,600
42.3785275,-71.1051965,600
42.3481538,-71.132248,600
42.2994666,-71.1138691,600
42.313022,-71.1010465,600
42.4182359,-71.068394,600
42.340329,-71.149213,600
42.419089,-71.135229,600
42.30673,-71.058638,600
42.311125,-71.051415,600
42.3584882,-71.1314394,600
42.3776691,-71.0901719,600
42.4070021,-71.1248175,600
42.3953196,-71.1279795,600
42.3521281,-71.1220431,600
42.400515,-71.114002,600
42.367798,-71.1616385,600
42.395453,-71.1254579,600
42.3402828,-71.1467904,600
42.389269,-71.107203,600
42.33296,-71.1013345,600
42.35164,-71.151915,600
42.3743551,-71.0974625,600
42.4182359,-71.068394,600
42.3660607,-71.0528115,600
42.2861261,-71.1405531,600
42.346767,-71.136661,600
42.3523243,-71.1269159,600
42.366329,-71.115339,600
42.3868323,-71.0987257,625
42.4292923,-71.0614905,625
42.405439,-71.136602,625
42.3459399,-71.1414431,625
42.352543,-71.140266,625
42.3445567,-71.1500533,625
42.383186,-71.1012378,625
42.2602827,-71.029112,625
42.2602827,-71.029112,625
42.3350046,-71.0750665,625
42.3221722,-71.1092638,625
42.351371,-71.154025,625
42.312061,-71.110716,625
42.2858841,-71.0282704,625
42.2561125,-71.0848601,625
42.3518479,-71.1355361,625
42.3541364,-71.1302242,625
42.310232,-71.1103171,625
42.3485006,-71.1295024,625
42.3463679,-71.1621218,650
42.3531805,-71.1340576,650
42.297225,-71.065637,650
42.3688234,-71.0947349,650
42.4015145,-71.1160139,650
42.3760709,-71.0324837,650
42.3507441,-71.1298433,650
42.3224311,-71.0610406,650
42.3727501,-71.1097158,650
42.407169,-71.046753,650
42.341216,-71.1547478,650
42.28513,-71.066696,650
42.3971928,-71.1308877,650
42.2929814,-71.0648124,650
42.422419,-71.086822,650
42.360533,-71.1405702,650
42.2734843,-71.1294034,650
42.3704403,-71.0396052,650
42.3355521,-71.0519417,650
42.3890679,-71.102961,650
42.3001675,-71.108976,650
42.331133,-71.101916,650
42.4293079,-71.0540252,650
42.3210947,-71.0558624,650
42.33734,-71.083983,650
42.339734,-71.1344491,650
42.339734,-71.1344491,650
42.3912247,-71.1102078,650
42.4070951,-71.1382736,650
42.3643688,-71.0555257,650
42.3386402,-71.1213677,650
42.3363019,-71.1150038,650
42.379098,-71.0941146,650
42.292834,-71.1511137,650
42.3977964,-71.1251279,650
42.3648193,-71.1050523,650
42.3648193,-71.1050523,650
42.357091,-71.12968,650
42.4091834,-71.1384511,650
42.379879,-71.0906663,650
42.33446,-71.12636,650
42.2872608,-71.1500651,650
42.421731,-71.124973,650
42.37875,-71.1474476,650
42.3256746,-71.122407,650
42.296879,-71.0669773,650
42.3684198,-71.08387,650
42.3684198,-71.08387,650
42.385186,-71.179849,650
42.3841669,-71.1136362,650
42.307415,-71.068619,650
42.29167,-71.060042,650
42.29167,-71.060042,650
42.295411,-71.1158573,650
42.381244,-71.1381093,650
42.3332429,-71.1090249,650
42.3645187,-71.1133173,650
42.344161,-71.101413,650
42.347249,-71.1372758,650
42.352257,-71.135058,650
42.4175635,-71.107507,650
42.33865,-71.084183,650
42.3696698,-71.0899554,650
42.3520805,-71.1249964,650
42.3593,-71.1438,650
42.344616,-71.139045,650
42.3418214,-71.141187,675
42.3418214,-71.141187,675
42.3549152,-71.1287778,675
42.3902042,-71.1079573,675
42.319865,-71.090868,675
42.3731778,-71.1026969,675
42.4308066,-71.0676232,675
42.4308066,-71.0676232,675
42.3741036,-71.151547,675
42.3291342,-71.0989546,675
42.3676988,-71.0951783,675
42.3530125,-71.1389949,675
42.333713,-71.1271843,675
42.3316489,-71.1174954,675
42.3316489,-71.1174954,675
42.394789,-71.0977553,675
42.3934997,-71.154712,675
42.353529,-71.159014,675
42.4039441,-71.1109412,675
42.3700591,-71.1700173,675
42.3365445,-71.1212417,675
42.356627,-71.1067397,675
42.38913,-71.1116686,675
42.3382395,-71.1527297,675
42.4292999,-71.0741,675
42.4033846,-71.1242102,675
42.347588,-71.13823,675
42.347588,-71.13823,675
42.336824,-71.1471245,675
42.3879928,-71.0878466,675
42.2999411,-71.1135539,700
42.3858904,-71.0960639,700
42.339008,-71.1212182,700
42.3491237,-71.1546263,700
42.41334,-71.1478978,700
42.3678603,-71.033416,700
42.3678603,-71.033416,700
42.381907,-71.0823684,700
42.3075623,-71.1638202,700
42.3683104,-71.0928618,700
42.373793,-71.1633039,700
42.391592,-71.032634,700
42.404,-71.1286593,700
42.3976928,-71.1143464,700
42.284419,-71.133218,700
42.4121625,-71.1450219,700
42.3437856,-71.1678923,700
42.364756,-71.1107773,700
42.385284,-71.102995,700
42.3631343,-71.1043045,700
42.311227,-71.108787,700
42.38368,-71.089541,700
42.38368,-71.089541,700
42.413522,-71.1204796,700
42.3992866,-71.1025823,700
42.4089519,-71.0949894,700
42.394525,-71.1177506,700
42.3719727,-71.0874215,700
42.284045,-71.1543001,700
42.369384,-71.0836237,700
42.3967725,-71.1248001,700
42.4040665,-71.1485918,700
42.3189218,-71.1054128,700
42.2622436,-71.1635336,700
42.368922,-71.0854262,700
42.41244,-71.14571,700
42.2856865,-71.1289612,700
42.364469,-71.100846,700
42.3728593,-71.1548867,700
42.3991593,-71.1246854,700
42.3350903,-71.1113613,700
42.407973,-70.996935,700
42.2785152,-71.1412079,700
42.3319369,-71.1120601,700
42.4089519,-71.0949894,700
42.318906,-71.055518,700
42.4115459,-71.1217948,700
42.3365445,-71.1212417,700
42.3742316,-71.1047258,700
42.340812,-71.156172,700
42.413522,-71.1204796,700
42.397993,-71.122611,700
42.349252,-71.093645,700
42.343456,-71.088481,700
42.3530694,-71.081291,700
42.4039795,-71.125717,700
42.403456,-71.12762,700
42.3314329,-71.105261,700
42.3483137,-71.0804638,700
42.2786224,-71.1191239,700
42.348916,-71.160437,700
42.290234,-71.141007,700
42.380543,-71.094851,700
42.3776691,-71.0901719,700
42.3422,-71.121,700
42.3495933,-71.1320364,700
42.3359674,-71.1205466,725
42.3636421,-71.0546574,725
42.397719,-71.123504,725
42.4027865,-71.1385043,725
42.351066,-71.1680106,725
42.3548447,-71.134729,725
42.3311632,-71.1074555,725
42.3501679,-71.094814,725
42.3619493,-71.1358504,725
42.367368,-71.1024002,725
42.3461052,-71.1216714,725
42.3472838,-71.1166145,725
42.41376,-71.1251387,725
42.3332522,-71.1070665,725
42.335687,-71.0755779,725
42.3375285,-71.110709,725
42.3556349,-71.1325927,725
42.312867,-71.0560452,750
42.3318468,-71.1083535,750
42.3601531,-71.1366087,750
42.384152,-71.1063818,750
42.3782848,-71.1063772,750
42.3692603,-71.040592,750
42.3533625,-71.1249468,750
42.2960536,-71.1162014,750
42.3376518,-71.141953,750
42.394492,-71.118261,750
42.401762,-71.1265239,750
42.34542,-71.162892,750
42.34542,-71.162892,750
42.3357363,-71.1137241,750
42.3610755,-71.1297648,750
42.31954,-71.1116732,750
42.3991953,-71.1282594,750
42.320753,-71.1106972,750
42.3842495,-71.089054,750
42.3381,-71.14606,750
42.3332522,-71.1070665,750
42.39607,-71.110167,750
42.367568,-71.0343259,750
42.365228,-71.1012855,750
42.3851443,-71.0860656,750
42.351154,-71.1314434,750
42.3346975,-71.039968,750
42.3346975,-71.039968,750
42.361798,-71.1350446,750
42.32618,-71.1202126,750
42.3979019,-71.0970888,750
42.339894,-71.07208,750
42.385143,-71.0941706,750
42.284334,-71.152586,750
42.380545,-71.039252,750
42.3734472,-71.0879685,750
42.3485006,-71.1295024,750
42.3632024,-71.0967097,750
42.386715,-71.11739,750
42.3808162,-71.1078876,750
42.3417124,-71.1281902,750
42.390992,-71.119953,750
42.3905668,-71.1179493,750
42.389233,-71.116608,750
42.337074,-71.0866794,750
42.3507461,-71.1336441,750
42.3415694,-71.1454935,750
42.4154102,-71.1532229,750
42.3122825,-71.1017536,750
42.330074,-71.0984941,750
42.349041,-71.163093,750
42.3139539,-71.0570013,750
42.4338009,-71.0719721,750
42.35307,-71.133158,750
42.3738975,-71.102094,750
42.3998474,-71.1252367,750
42.365003,-71.1014592,750
42.398518,-71.124159,750
42.4029719,-71.0394092,750
42.3315607,-71.0980043,750
42.3700984,-71.1129275,750
42.4126801,-71.1490268,750
42.3767802,-71.161261,750
42.401003,-71.1234771,750
42.3619493,-71.1358504,750
42.3461186,-71.1462614,750
42.3998474,-71.1252367,750
42.3406323,-71.0817043,750
42.3291342,-71.0989546,750
42.2825846,-71.0556724,750
42.3412119,-71.0534584,750
42.33446,-71.12636,750
42.3463,-71.1389,750
42.379997,-71.178628,750
42.3729821,-71.0958663,750
42.3406323,-71.0817043,750
42.3457275,-71.1412234,750
42.3686625,-71.0929749,775
42.3424,-71.1404363,775
42.3424,-71.1404363,775
42.4032027,-71.1270675,775
42.308805,-71.117999,775
42.3768115,-71.1625826,775
42.3153795,-71.1104152,775
42.3491063,-71.1534226,775
42.3443224,-71.1250815,775
42.372147,-71.0829756,775
42.3803027,-71.0699844,775
42.359564,-71.12978,775
42.354543,-71.135079,775
42.359285,-71.1303653,775
42.3472466,-71.0877221,775
42.3684065,-71.0943545,775
42.3684168,-71.1764912,775
42.3395,-71.0831,775
42.389798,-71.1171602,800
42.360514,-71.1345379,800
42.379593,-71.121155,800
42.390273,-71.1176379,800
42.421041,-71.138973,800
42.3373698,-71.13844,800
42.4265868,-71.0810701,800
42.3407445,-71.1474395,800
