rent,lon,lat,bedrooms,apt_id
100,-71.0529719,42.3322267,1,77950991
100,-71.1124611,42.3738121,1,77672634
125,-71.119705,42.262142,0,78528996
125,-71.119705,42.262142,0,78528995
150,-71.0463,42.294,0,78554478
150,-71.1163703,42.2788612,0,78324184
150,-71.1217011,42.2873962,0,78324173
150,-71.0391388,42.377121,0,78323910
150,-71.1206864,42.2806954,0,78279650
150,-71.1189708,42.2799548,0,78279649
150,-71.1013192,42.425753,0,78165643
150,-71.121406,42.2872136,0,78129231
150,-71.117766,42.279474,0,78129229
150,-71.037168,42.371284,0,77972279
150,-71.038967,42.380547,1,78247787
150,-71.038967,42.380547,1,78247786
175,-71.062646,42.311225,0,78324024
175,-71.067883,42.305541,0,77848858
175,-71.061425,42.2930459,0,77746796
175,-71.0463,42.294,1,78290019
200,-71.0995153,42.3642002,0,78288175
225,-71.0474618,42.3329689,0,78297847
250,-71.0108593,42.3861288,0,77926804
300,-71.1284307,42.410222,0,78221788
300,-71.1134324,42.3718356,0,78067572
300,-71.1328599,42.3934857,0,78011549
325,-71.087586,42.343523,2,78211784
350,-71.1043233,42.3712683,0,78596018
350,-71.104004,42.382336,0,78490910
350,-71.1490687,42.3561639,0,78211870
400,-71.1308586,42.3957776,0,78554705
400,-71.114516,42.297853,1,77948347
400,-71.083603,42.338959,1,77824712
400,-71.1281154,42.3573845,4,77878529
425,-71.1322275,42.353443,1,78596009
425,-71.133805,42.362288,1,78323678
450,-71.0319396,42.3706612,0,78596077
450,-71.129263,42.35987,0,78566502
450,-71.1462614,42.3461186,0,78528927
450,-71.1462614,42.3461186,0,78528926
450,-71.102715,42.306629,0,78382656
450,-71.0545395,42.4148763,0,78297992
450,-71.0588768,42.4183972,0,78297900
450,-71.11544,42.3923037,0,78288173
450,-71.1080398,42.3993906,0,78200752
450,-71.1280363,42.353719,0,78113373
450,-71.073641,42.299371,0,77985962
450,-71.1038022,42.37617,0,77836640
450,-71.0567745,42.3208051,1,78096996
450,-71.1785,42.3719,4,78271061
475,-71.1297884,42.363193,0,78359560
475,-71.1097811,42.3228212,0,78298077
475,-71.1369931,42.2783302,0,78298073
475,-71.1106217,42.412058,0,78016275
475,-71.050855,42.312442,1,78382540
475,-71.0769248,42.3365408,1,78323697
475,-71.1113613,42.3350903,1,77671850
475,-71.050855,42.312442,2,78079109
500,-71.083304,42.315349,0,78586572
500,-71.0907645,42.3908465,0,78514225
500,-70.9884149,42.4013636,0,78514172
500,-71.061504,42.30537,0,78490912
500,-70.99116,42.4180696,0,78369550
500,-71.1084609,42.3223915,0,78349990
500,-71.0995514,42.3956614,0,78341104
500,-71.0995514,42.3956614,0,78341103
500,-71.058419,42.307579,0,78330718
500,-71.14758,42.353126,0,78324654
500,-71.1590999,42.3585952,0,78297966
500,-71.0567745,42.3208051,0,78297876
500,-71.096995,42.328154,0,78283893
500,-71.104591,42.326314,0,78283860
500,-71.097168,42.3891358,0,78268155
500,-71.0964231,42.3176838,0,78248001
500,-71.0920373,42.3943446,0,78229935
500,-71.1059671,42.38475,0,78091090
500,-71.118633,42.335975,0,78055673
500,-71.00166,42.27147,0,78040255
500,-71.0678047,42.4345694,0,78016273
500,-71.0743526,42.430203,0,77978912
500,-71.056726,42.31849,0,77965621
500,-71.022985,42.274559,0,77933449
500,-71.1373342,42.381301,0,77878674
500,-71.109108,42.322553,0,77836679
500,-71.1313544,42.3560434,0,77807305
500,-71.0207664,42.2761801,0,77746772
500,-71.1103938,42.411197,1,78323778
500,-71.1202486,42.4105772,1,78297803
500,-71.1468257,42.341364,1,78247809
500,-71.179946,42.358705,3,78128987
500,-71.1531,42.3382,3,74217973
500,-71.0391582,42.3789143,4,78091044
525,-71.164733,42.349957,0,78585790
525,-71.0860011,42.3886225,0,78577385
525,-71.0860011,42.3886225,0,78577384
525,-71.1324024,42.3604638,0,78566436
525,-71.099,42.314234,0,78566423
525,-71.130517,42.3547836,0,78313081
525,-71.1020704,42.3989496,0,78298030
525,-71.03562,42.27985,0,78297990
525,-71.1168097,42.394117,0,78255336
525,-71.1626689,42.349182,0,78247819
525,-71.056696,42.317122,0,78176413
525,-71.056696,42.317122,0,78176412
525,-71.0974232,42.388777,0,78106334
525,-71.114085,42.299115,1,78297804
525,-71.1138369,42.3100983,7,77972193
525,-71.1138369,42.3100983,7,77972192
550,-71.1060708,42.4225402,0,78554509
550,-71.100473,42.313594,0,78543690
550,-71.1145969,42.3030304,0,78514186
550,-71.0544813,42.3189762,0,78494614
550,-71.0882652,42.3898156,0,78490911
550,-71.0525953,42.3163163,0,78397180
550,-71.1090075,42.3649003,0,78349897
550,-71.134395,42.354836,0,78330757
550,-71.1314642,42.4024591,0,78324252
550,-71.1023059,42.3946886,0,78324099
550,-71.07432,42.2781,0,78323938
550,-71.0967605,42.3944361,0,78313099
550,-71.1095672,42.3233595,0,78310321
550,-71.154338,42.350338,0,78298093
550,-71.064787,42.283999,0,78298081
550,-71.1290129,42.358148,0,78262224
550,-71.156911,42.356333,0,78247918
550,-71.1047506,42.3320156,0,78247873
550,-71.128901,42.359356,0,78221764
550,-71.0483843,42.3385927,0,78176452
550,-71.1015122,42.3911382,0,78126561
550,-71.1079736,42.361939,0,78123367
550,-71.17352,42.353177,0,78079154
550,-70.9803678,42.3745209,0,78046354
550,-71.0918281,42.3299157,0,78045317
550,-71.1035198,42.3985395,0,78006813
550,-71.116937,42.2949754,0,77985970
550,-71.156919,42.350896,0,77907969
550,-71.1612986,42.3489544,0,77895734
550,-71.0925917,42.3648529,0,77824859
550,-71.1415392,42.3429741,0,77814950
550,-71.0996356,42.3270883,0,77801805
550,-71.133873,42.353344,0,77788377
550,-71.1356111,42.3517474,1,78323762
550,-71.1001462,42.3282054,1,78262111
550,-71.0449,42.3336,3,78303418
550,-71.0932595,42.3465183,3,78300710
575,-71.1014319,42.3794,0,78585786
575,-71.0570568,42.3295353,0,78543916
575,-71.0570568,42.3295353,0,78543915
575,-71.098168,42.3687619,0,78543851
575,-71.098168,42.3687619,0,78543849
575,-71.1047112,42.3212078,0,78384406
575,-71.105123,42.421214,0,78324601
575,-71.145161,42.355153,0,78324239
575,-71.1293214,42.3966625,0,78324143
